,length,gc
ENSG00000112078,6239,0.456483411
ENSG00000112079,3585,0.448256625
ENSG00000112081,7118,0.40025288
ENSG00000112096,NA,NA
ENSG00000112110,1374,0.501455604
ENSG00000112115,1871,0.413148049
ENSG00000112116,1097,0.418413856
ENSG00000112118,3645,0.446090535
ENSG00000112130,6564,0.435405241
ENSG00000112137,24490,0.467660269
ENSG00000112139,14690,0.557658271
ENSG00000112144,6302,0.411139321
ENSG00000112146,8208,0.430677388
ENSG00000112149,2384,0.460151007
ENSG00000112159,33741,0.432826532
ENSG00000112164,6682,0.497306196
ENSG00000112167,7401,0.448047561
ENSG00000112175,3970,0.340050378
ENSG00000112182,10868,0.455189547
ENSG00000112183,3425,0.446131387
ENSG00000112186,3246,0.428219347
ENSG00000112195,3785,0.492734478
ENSG00000112200,16414,0.373766297
ENSG00000112208,6651,0.370169899
ENSG00000112210,4919,0.404757064
ENSG00000112212,1075,0.555348837
ENSG00000112214,4125,0.378181818
ENSG00000112218,5967,0.387631976
ENSG00000112232,2403,0.397003745
ENSG00000112234,8118,0.389997536
ENSG00000112237,5610,0.392335116
ENSG00000112238,3232,0.619121287
ENSG00000112242,5190,0.471868979
ENSG00000112245,5914,0.399560365
ENSG00000112246,9272,0.407247627
ENSG00000112249,11731,0.36561248
ENSG00000112273,2101,0.580199905
ENSG00000112276,5791,0.412191331
ENSG00000112280,10329,0.407009391
ENSG00000112282,7426,0.382978723
ENSG00000112290,3260,0.420245399
ENSG00000112293,7221,0.462678299
ENSG00000112294,7563,0.457358191
ENSG00000112297,10981,0.469265094
ENSG00000112299,3853,0.404100701
ENSG00000112303,2595,0.397687861
ENSG00000112304,4394,0.416021848
ENSG00000112305,4157,0.436131826
ENSG00000112306,639,0.489827856
ENSG00000112308,2591,0.419529139
ENSG00000112309,6587,0.466828602
ENSG00000112312,2476,0.410339257
ENSG00000112319,14674,0.393621371
ENSG00000112320,7895,0.502849905
ENSG00000112333,3765,0.511022576
ENSG00000112335,1828,0.525164114
ENSG00000112337,2533,0.369522306
ENSG00000112339,11085,0.359494813
ENSG00000112343,9418,0.405818645
ENSG00000112357,3409,0.457318862
ENSG00000112365,10456,0.439556236
ENSG00000112367,28959,0.381919265
ENSG00000112378,4198,0.410671748
ENSG00000112379,14859,0.457635103
ENSG00000112394,11237,0.398949898
ENSG00000112406,5646,0.452709883
ENSG00000112414,8473,0.406349581
ENSG00000112419,11224,0.40342124
ENSG00000112425,18282,0.396947818
ENSG00000112462,1869,0.381487426
ENSG00000112473,4003,0.53734699
ENSG00000112486,3526,0.435053885
ENSG00000112494,2694,0.502969562
ENSG00000112499,5983,0.410496406
ENSG00000112511,3596,0.593437152
ENSG00000112514,1876,0.549040512
ENSG00000112530,2569,0.471000389
ENSG00000112531,17364,0.382400369
ENSG00000112539,2238,0.433422699
ENSG00000112541,37993,0.400073698
ENSG00000112559,2535,0.657988166
ENSG00000112561,6722,0.549836358
ENSG00000112562,4032,0.495535714
ENSG00000112576,5761,0.531852109
ENSG00000112578,1937,0.563758389
ENSG00000112584,6029,0.466578205
ENSG00000112592,2318,0.4797239
ENSG00000112599,2270,0.478414097
ENSG00000112619,3001,0.497500833
ENSG00000112624,6836,0.447630193
ENSG00000112640,3787,0.549775548
ENSG00000112651,2171,0.496084754
ENSG00000112655,8985,0.550473011
ENSG00000112658,4231,0.607657764
ENSG00000112659,12242,0.571801993
ENSG00000112667,1247,0.6319166
ENSG00000112679,5686,0.54414351
ENSG00000112685,4990,0.43987976
ENSG00000112695,1922,0.369927159
ENSG00000112697,5502,0.406034169
ENSG00000112699,4217,0.463836851
ENSG00000112701,11417,0.370324954
ENSG00000112706,3802,0.331667543
ENSG00000112715,14431,0.556233109
ENSG00000112739,8429,0.370032032
ENSG00000112742,4579,0.409914829
ENSG00000112759,4298,0.581200558
ENSG00000112761,1916,0.458768267
ENSG00000112763,3787,0.496963295
ENSG00000112769,11983,0.391220896
ENSG00000112773,6053,0.336857756
ENSG00000112782,10432,0.41669862
ENSG00000112787,9393,0.690620675
ENSG00000112796,4275,0.400467836
ENSG00000112799,1203,0.499584372
ENSG00000112812,5290,0.510018904
ENSG00000112818,3088,0.460492228
ENSG00000112837,8654,0.425467992
ENSG00000112851,13363,0.346928085
ENSG00000112852,4098,0.483162518
ENSG00000112855,3719,0.476741059
ENSG00000112874,4301,0.363868868
ENSG00000112877,3590,0.539832869
ENSG00000112893,11254,0.375422072
ENSG00000112902,12308,0.422083198
ENSG00000112936,10105,0.41197427
ENSG00000112941,6356,0.554751416
ENSG00000112964,6948,0.437104203
ENSG00000112972,6627,0.429153463
ENSG00000112977,3323,0.49322901
ENSG00000112981,2389,0.383005442
ENSG00000112983,7009,0.430731916
ENSG00000112984,3852,0.48364486
ENSG00000112992,12018,0.389415876
ENSG00000112996,6180,0.380420712
ENSG00000113013,9782,0.446023308
ENSG00000113048,19524,0.414156935
ENSG00000113068,2152,0.44330855
ENSG00000113070,2990,0.537123746
ENSG00000113073,3641,0.572644878
ENSG00000113083,5596,0.420657613
ENSG00000113088,1567,0.405871091
ENSG00000113100,4206,0.417498811
ENSG00000113108,3609,0.550568024
ENSG00000113119,3494,0.546365197
ENSG00000113140,4638,0.473695558
ENSG00000113141,4036,0.459861249
ENSG00000113161,10125,0.407703704
ENSG00000113163,14492,0.40884626
ENSG00000113194,5924,0.462356516
ENSG00000113196,1701,0.564373898
ENSG00000113205,3355,0.496274218
ENSG00000113209,3410,0.496774194
ENSG00000113211,3231,0.502630764
ENSG00000113212,3740,0.47540107
ENSG00000113231,5594,0.465498749
ENSG00000113240,7922,0.407094168
ENSG00000113248,3971,0.479224377
ENSG00000113249,4856,0.445428336
ENSG00000113262,8282,0.581019078
ENSG00000113263,8587,0.440083848
ENSG00000113269,12817,0.433096668
ENSG00000113272,2998,0.463975984
ENSG00000113273,8899,0.448477357
ENSG00000113282,6338,0.425055222
ENSG00000113296,4605,0.519652552
ENSG00000113300,6572,0.395465612
ENSG00000113302,3078,0.428525016
ENSG00000113303,3924,0.515035678
ENSG00000113312,9846,0.40605322
ENSG00000113318,5329,0.418089698
ENSG00000113319,11032,0.454767948
ENSG00000113327,22751,0.361962112
ENSG00000113328,3096,0.373385013
ENSG00000113356,4024,0.36555666
ENSG00000113360,7782,0.403623747
ENSG00000113361,12443,0.415896488
ENSG00000113368,3633,0.502890173
ENSG00000113369,4985,0.378535607
ENSG00000113384,2742,0.498905908
ENSG00000113387,9266,0.374055687
ENSG00000113389,9979,0.430604269
ENSG00000113391,5415,0.397968606
ENSG00000113396,3133,0.437280562
ENSG00000113407,4257,0.440216115
ENSG00000113430,2974,0.669468729
ENSG00000113441,14966,0.394694641
ENSG00000113448,16140,0.390954151
ENSG00000113456,5627,0.425271015
ENSG00000113460,4710,0.357537155
ENSG00000113492,3952,0.422823887
ENSG00000113494,13006,0.415269875
ENSG00000113504,6004,0.635576282
ENSG00000113520,820,0.482926829
ENSG00000113522,10565,0.408424042
ENSG00000113525,1586,0.385245902
ENSG00000113532,7812,0.40578597
ENSG00000113552,3959,0.449861076
ENSG00000113555,6114,0.529604187
ENSG00000113558,12697,0.416948886
ENSG00000113569,9158,0.43339157
ENSG00000113575,6499,0.40713956
ENSG00000113578,4980,0.456425703
ENSG00000113580,9161,0.394607576
ENSG00000113583,2301,0.479791395
ENSG00000113593,3777,0.37172359
ENSG00000113594,12159,0.405543219
ENSG00000113595,4654,0.412333477
ENSG00000113597,6761,0.347581719
ENSG00000113600,3567,0.409868237
ENSG00000113615,7291,0.384035112
ENSG00000113621,4807,0.424589141
ENSG00000113638,9708,0.374845488
ENSG00000113643,3417,0.403277729
ENSG00000113645,10082,0.525292601
ENSG00000113648,17013,0.476106507
ENSG00000113649,8714,0.383979803
ENSG00000113657,7179,0.43947625
ENSG00000113658,9040,0.398561947
ENSG00000113712,8505,0.448324515
ENSG00000113716,6263,0.558837618
ENSG00000113719,16736,0.522645793
ENSG00000113721,7135,0.539032936
ENSG00000113722,1775,0.628169014
ENSG00000113732,1609,0.431945308
ENSG00000113734,2440,0.480327869
ENSG00000113739,5062,0.524693797
ENSG00000113742,10444,0.380122558
ENSG00000113749,5675,0.553832599
ENSG00000113758,5119,0.628247705
ENSG00000113761,6686,0.511367036
ENSG00000113763,4317,0.64327079
ENSG00000113790,4651,0.388088583
ENSG00000113805,5430,0.426703499
ENSG00000113810,8164,0.387677609
ENSG00000113811,2055,0.43406326
ENSG00000113812,4016,0.454432271
ENSG00000113838,3398,0.409358446
ENSG00000113845,2715,0.425414365
ENSG00000113851,8052,0.368107303
ENSG00000113889,4603,0.424071258
ENSG00000113905,4993,0.459843781
ENSG00000113916,5936,0.485175202
ENSG00000113924,2682,0.410887397
ENSG00000113946,3330,0.39009009
ENSG00000113966,4561,0.350142513
ENSG00000113971,11488,0.396935933
ENSG00000114013,3437,0.447192319
ENSG00000114019,6479,0.573699645
ENSG00000114021,9226,0.425211359
ENSG00000114023,11604,0.393226474
ENSG00000114026,8733,0.524218482
ENSG00000114030,8498,0.404095081
ENSG00000114054,7498,0.464123766
ENSG00000114062,19033,0.388535701
ENSG00000114098,9843,0.395611094
ENSG00000114107,4409,0.428668632
ENSG00000114113,845,0.424852071
ENSG00000114115,3905,0.473751601
ENSG00000114120,10339,0.347422381
ENSG00000114124,6533,0.471146487
ENSG00000114125,3102,0.40554481
ENSG00000114126,11897,0.412372867
ENSG00000114127,11982,0.391003171
ENSG00000114166,5211,0.410861639
ENSG00000114200,3072,0.340169271
ENSG00000114204,2678,0.331217326
ENSG00000114209,3275,0.372824427
ENSG00000114248,3125,0.40128
ENSG00000114251,7153,0.524954565
ENSG00000114268,6107,0.537907319
ENSG00000114270,11133,0.612323722
ENSG00000114279,11469,0.374051792
ENSG00000114302,8701,0.424089185
ENSG00000114315,2059,0.522583779
ENSG00000114316,7328,0.512691048
ENSG00000114331,11066,0.39454184
ENSG00000114346,5499,0.377159484
ENSG00000114349,3936,0.544969512
ENSG00000114353,7405,0.585685348
ENSG00000114354,12709,0.372098513
ENSG00000114374,18224,0.390035119
ENSG00000114378,3085,0.564667747
ENSG00000114383,2404,0.65266223
ENSG00000114388,3412,0.56066823
ENSG00000114391,2733,0.436882547
ENSG00000114395,1926,0.577362409
ENSG00000114405,4388,0.359617138
ENSG00000114416,11874,0.366767728
ENSG00000114423,12269,0.385687505
ENSG00000114439,11892,0.399175917
ENSG00000114446,3631,0.394932525
ENSG00000114450,7975,0.403887147
ENSG00000114455,3574,0.397313934
ENSG00000114473,7468,0.416845206
ENSG00000114480,4651,0.373253064
ENSG00000114487,3747,0.378702962
ENSG00000114491,7512,0.467518637
ENSG00000114503,5111,0.453335942
ENSG00000114520,2708,0.48042836
ENSG00000114529,6021,0.437302774
ENSG00000114541,11201,0.428086778
ENSG00000114544,6590,0.520637329
ENSG00000114547,4032,0.470486111
ENSG00000114554,11235,0.617356475
ENSG00000114573,6332,0.414718888
ENSG00000114626,6155,0.615759545
ENSG00000114631,2175,0.64091954
ENSG00000114638,2256,0.453457447
ENSG00000114646,4367,0.468284864
ENSG00000114648,7064,0.507361268
ENSG00000114650,6288,0.47105598
ENSG00000114654,3273,0.641307669
ENSG00000114656,12033,0.457325688
ENSG00000114670,5355,0.435294118
ENSG00000114686,2715,0.39373849
ENSG00000114698,4231,0.357835027
ENSG00000114735,19221,0.530617554
ENSG00000114737,5056,0.568433544
ENSG00000114738,3915,0.583141762
ENSG00000114739,15705,0.478892073
ENSG00000114742,7473,0.40532584
ENSG00000114744,4895,0.372829418
ENSG00000114745,8939,0.538427117
ENSG00000114757,10236,0.373388042
ENSG00000114767,1542,0.551880674
ENSG00000114770,11365,0.473383194
ENSG00000114771,1632,0.380514706
ENSG00000114779,3161,0.561531161
ENSG00000114784,1889,0.37321334
ENSG00000114786,4761,0.585381222
ENSG00000114790,5459,0.464370764
ENSG00000114796,8650,0.389479769
ENSG00000114805,7177,0.414657935
ENSG00000114812,7384,0.563651138
ENSG00000114841,13873,0.571253514
ENSG00000114850,5179,0.407993821
ENSG00000114853,5685,0.611433597
ENSG00000114854,1141,0.590709904
ENSG00000114857,17309,0.384597608
ENSG00000114859,8522,0.56137057
ENSG00000114861,32800,0.431676829
ENSG00000114867,8752,0.571183729
ENSG00000114902,5121,0.452841242
ENSG00000114904,6393,0.428593774
ENSG00000114923,4952,0.63953958
ENSG00000114933,14373,0.445557643
ENSG00000114942,1915,0.453785901
ENSG00000114948,6425,0.447003891
ENSG00000114956,1455,0.479037801
ENSG00000114978,6440,0.423291925
ENSG00000114982,9022,0.425182886
ENSG00000114988,2709,0.483942414
ENSG00000114993,5191,0.59198613
ENSG00000114999,15730,0.432422123
ENSG00000115008,2017,0.400594943
ENSG00000115009,1594,0.353826851
ENSG00000115020,10839,0.411292555
ENSG00000115041,7956,0.605957768
ENSG00000115042,5678,0.534519197
ENSG00000115053,8919,0.493665209
ENSG00000115073,2853,0.593059937
ENSG00000115084,13398,0.395730706
ENSG00000115085,5314,0.626646594
ENSG00000115091,11946,0.35149841
ENSG00000115107,4562,0.567295046
ENSG00000115109,9209,0.424910414
ENSG00000115112,9367,0.499626348
ENSG00000115128,1125,0.415111111
ENSG00000115129,2312,0.46150519
ENSG00000115137,5624,0.435633001
ENSG00000115138,1538,0.612483745
ENSG00000115145,6776,0.420159386
ENSG00000115155,8025,0.518878505
ENSG00000115159,7165,0.408234473
ENSG00000115163,1949,0.487429451
ENSG00000115165,3384,0.38534279
ENSG00000115170,9842,0.436090226
ENSG00000115183,14915,0.470063694
ENSG00000115194,5766,0.473985432
ENSG00000115204,5625,0.501155556
ENSG00000115207,5702,0.471764293
ENSG00000115211,5193,0.495474677
ENSG00000115216,5329,0.511165322
ENSG00000115221,5785,0.365773552
ENSG00000115226,1937,0.590604027
ENSG00000115232,10654,0.376759902
ENSG00000115233,7311,0.350841198
ENSG00000115234,3767,0.528802761
ENSG00000115239,6735,0.451076466
ENSG00000115241,3995,0.507884856
ENSG00000115252,6632,0.357509047
ENSG00000115255,2030,0.642857143
ENSG00000115257,3792,0.623417722
ENSG00000115263,2378,0.336417157
ENSG00000115266,12635,0.68729719
ENSG00000115267,5225,0.407464115
ENSG00000115268,2138,0.627221703
ENSG00000115271,5323,0.358444486
ENSG00000115274,1442,0.615811373
ENSG00000115275,3584,0.577287946
ENSG00000115282,4767,0.539542689
ENSG00000115286,7456,0.614270386
ENSG00000115289,1744,0.5625
ENSG00000115290,2998,0.413609073
ENSG00000115295,23405,0.376030763
ENSG00000115297,2810,0.649466192
ENSG00000115306,18473,0.463433119
ENSG00000115307,2455,0.548676171
ENSG00000115310,6644,0.40833835
ENSG00000115317,3405,0.539207048
ENSG00000115318,4519,0.576676256
ENSG00000115325,2800,0.631071429
ENSG00000115339,4589,0.43691436
ENSG00000115350,2000,0.458
ENSG00000115353,5128,0.457293292
ENSG00000115355,33942,0.384125862
ENSG00000115361,5152,0.409937888
ENSG00000115363,2745,0.418579235
ENSG00000115364,8947,0.378562647
ENSG00000115365,9372,0.399807939
ENSG00000115368,5040,0.373412698
ENSG00000115380,3962,0.447501262
ENSG00000115386,1715,0.478717201
ENSG00000115392,37977,0.363114517
ENSG00000115414,17216,0.386791357
ENSG00000115415,18467,0.380083392
ENSG00000115419,9833,0.363876742
ENSG00000115421,8479,0.37480835
ENSG00000115423,13514,0.407429333
ENSG00000115425,3196,0.443679599
ENSG00000115446,2230,0.478923767
ENSG00000115457,4742,0.565584142
ENSG00000115459,7259,0.508058961
ENSG00000115461,6466,0.508506032
ENSG00000115464,18443,0.410291167
ENSG00000115468,2671,0.539872707
ENSG00000115474,3636,0.362486249
ENSG00000115484,2701,0.415401703
ENSG00000115486,13307,0.46652138
ENSG00000115488,1143,0.639545057
ENSG00000115504,8224,0.4192607
ENSG00000115507,4833,0.591558038
ENSG00000115514,2816,0.449928977
ENSG00000115520,2654,0.411077619
ENSG00000115523,3047,0.569740729
ENSG00000115524,10421,0.399289895
ENSG00000115525,16300,0.483742331
ENSG00000115526,4499,0.501222494
ENSG00000115539,1532,0.471279373
ENSG00000115540,4081,0.368537123
ENSG00000115541,1823,0.472298409
ENSG00000115548,13299,0.429881946
ENSG00000115556,5777,0.493162541
ENSG00000115561,7019,0.412879328
ENSG00000115568,11560,0.491176471
ENSG00000115590,2957,0.460601961
ENSG00000115592,3409,0.542974479
ENSG00000115593,4552,0.476933216
ENSG00000115594,7123,0.447845009
ENSG00000115596,1719,0.704479348
ENSG00000115598,2611,0.484871697
ENSG00000115602,5746,0.420292377
ENSG00000115604,4500,0.420888889
ENSG00000115607,2966,0.43054619
ENSG00000115616,6175,0.44194332
ENSG00000115641,6626,0.405976456
ENSG00000115648,7435,0.516879623
ENSG00000115649,2719,0.549834498
ENSG00000115652,6980,0.451432665
ENSG00000115657,5205,0.544092219
ENSG00000115661,4368,0.532051282
ENSG00000115665,5168,0.389512384
ENSG00000115677,12160,0.472368421
ENSG00000115685,3781,0.548796615
ENSG00000115687,10665,0.505578997
ENSG00000115694,7588,0.584739062
ENSG00000115705,8453,0.527623329
ENSG00000115718,2491,0.613809715
ENSG00000115738,2213,0.525982829
ENSG00000115750,3975,0.403522013
ENSG00000115756,6237,0.602693603
ENSG00000115758,3307,0.515270638
ENSG00000115760,18535,0.417642298
ENSG00000115761,21331,0.407153907
ENSG00000115762,6728,0.485285375
ENSG00000115806,4705,0.463336876
ENSG00000115808,14351,0.41174831
ENSG00000115816,3512,0.416287016
ENSG00000115825,10269,0.391372091
ENSG00000115827,7657,0.391537156
ENSG00000115828,2676,0.448056801
ENSG00000115839,20734,0.387817112
ENSG00000115840,6126,0.43323539
ENSG00000115841,6031,0.36295805
ENSG00000115844,2971,0.582968697
ENSG00000115850,6580,0.487082067
ENSG00000115866,4752,0.434343434
ENSG00000115875,4045,0.447218789
ENSG00000115884,3613,0.643509549
ENSG00000115896,8122,0.409135681
ENSG00000115902,6941,0.499063536
ENSG00000115904,22984,0.37204142
ENSG00000115919,17442,0.363719757
ENSG00000115934,1329,0.354401806
ENSG00000115935,15561,0.434740698
ENSG00000115942,5831,0.413136683
ENSG00000115944,5605,0.503835861
ENSG00000115946,2630,0.416730038
ENSG00000115947,8916,0.400964558
ENSG00000115956,3205,0.465210608
ENSG00000115963,3594,0.382860323
ENSG00000115966,5751,0.398017736
ENSG00000115970,14197,0.43347186
ENSG00000115977,24843,0.407197198
ENSG00000115993,7516,0.4341405
ENSG00000115998,3573,0.442485306
ENSG00000116001,6607,0.413652187
ENSG00000116005,5864,0.423772169
ENSG00000116014,1670,0.68742515
ENSG00000116016,7291,0.532300096
ENSG00000116017,7217,0.592074269
ENSG00000116030,2153,0.490478402
ENSG00000116031,1866,0.515005359
ENSG00000116032,3281,0.702529717
ENSG00000116035,2975,0.619495798
ENSG00000116039,2656,0.589608434
ENSG00000116044,14975,0.38951586
ENSG00000116062,17683,0.42351411
ENSG00000116095,14205,0.3750088
ENSG00000116096,1458,0.593278464
ENSG00000116106,7554,0.451151708
ENSG00000116117,10522,0.467496674
ENSG00000116120,6761,0.412956663
ENSG00000116127,22670,0.421923247
ENSG00000116128,6331,0.536250197
ENSG00000116132,8248,0.395489816
ENSG00000116133,6214,0.510138397
ENSG00000116138,8563,0.446689244
ENSG00000116141,15255,0.384070796
ENSG00000116147,12806,0.437763548
ENSG00000116151,11337,0.610302549
ENSG00000116157,1692,0.510047281
ENSG00000116161,4611,0.43201041
ENSG00000116171,8253,0.418272143
ENSG00000116176,1266,0.629541864
ENSG00000116183,10926,0.477118799
ENSG00000116191,9161,0.362842484
ENSG00000116194,3598,0.319899944
ENSG00000116198,11885,0.48986117
ENSG00000116199,6046,0.442275885
ENSG00000116205,12168,0.458744247
ENSG00000116209,9149,0.416438955
ENSG00000116212,2164,0.473197782
ENSG00000116213,7634,0.553445114
ENSG00000116218,1874,0.505336179
ENSG00000116221,2549,0.528442526
ENSG00000116237,4910,0.511812627
ENSG00000116251,4665,0.521114684
ENSG00000116254,10094,0.588468397
ENSG00000116260,9276,0.546463993
ENSG00000116266,5892,0.348438561
ENSG00000116273,3632,0.540198238
ENSG00000116285,4179,0.401292175
ENSG00000116288,2397,0.493950772
ENSG00000116299,9194,0.505982162
ENSG00000116329,9317,0.546420522
ENSG00000116337,9301,0.567358349
ENSG00000116350,8806,0.425278219
ENSG00000116353,4138,0.47341711
ENSG00000116396,26071,0.529131986
ENSG00000116406,18576,0.356481481
ENSG00000116455,2685,0.459217877
ENSG00000116459,3138,0.422562141
ENSG00000116473,5532,0.388286334
ENSG00000116478,3966,0.505547151
ENSG00000116489,3495,0.369957082
ENSG00000116497,9190,0.415451578
ENSG00000116514,2734,0.556693489
ENSG00000116521,2442,0.543407043
ENSG00000116525,3976,0.573440644
ENSG00000116539,13783,0.434810999
ENSG00000116544,4042,0.518555171
ENSG00000116560,7720,0.426813472
ENSG00000116574,3965,0.45220681
ENSG00000116580,11970,0.457226399
ENSG00000116584,9250,0.502594595
ENSG00000116586,1404,0.551282051
ENSG00000116604,6351,0.559282003
ENSG00000116641,24890,0.371112897
ENSG00000116649,1894,0.636219641
ENSG00000116661,3163,0.535567499
ENSG00000116663,1735,0.595389049
ENSG00000116667,11594,0.44626531
ENSG00000116668,4068,0.395280236
ENSG00000116670,5431,0.576505248
ENSG00000116675,6958,0.439925266
ENSG00000116678,11370,0.359806508
ENSG00000116679,7873,0.401498793
ENSG00000116685,3281,0.601036269
ENSG00000116688,10234,0.517979285
ENSG00000116690,5049,0.461081402
ENSG00000116691,2821,0.638780574
ENSG00000116698,8317,0.464590598
ENSG00000116701,4319,0.487612873
ENSG00000116703,1331,0.340345605
ENSG00000116704,6193,0.397707089
ENSG00000116711,2879,0.390413338
ENSG00000116717,1925,0.577662338
ENSG00000116721,2439,0.481344813
ENSG00000116726,2889,0.491519557
ENSG00000116729,4459,0.401659565
ENSG00000116731,10933,0.453672368
ENSG00000116741,2088,0.409003831
ENSG00000116745,2605,0.37696737
ENSG00000116747,9070,0.358213892
ENSG00000116748,3082,0.421479559
ENSG00000116750,6661,0.420957814
ENSG00000116752,1289,0.431342126
ENSG00000116754,8473,0.371887171
ENSG00000116761,2414,0.431648716
ENSG00000116771,3095,0.522132472
ENSG00000116774,2821,0.526409075
ENSG00000116783,4733,0.402915698
ENSG00000116785,4261,0.338887585
ENSG00000116786,4134,0.626269956
ENSG00000116791,4085,0.420318237
ENSG00000116793,7170,0.393723849
ENSG00000116809,4240,0.51745283
ENSG00000116815,1784,0.450672646
ENSG00000116819,4308,0.591457753
ENSG00000116824,1635,0.449541284
ENSG00000116830,10158,0.437586139
ENSG00000116833,7543,0.422510937
ENSG00000116852,12164,0.563959224
ENSG00000116857,3919,0.466445522
ENSG00000116863,1651,0.587522714
ENSG00000116871,5271,0.638209068
ENSG00000116874,3830,0.393733681
ENSG00000116882,1877,0.47575919
ENSG00000116883,NA,NA
ENSG00000116885,2788,0.458393113
ENSG00000116898,2863,0.520782396
ENSG00000116903,5100,0.43254902
ENSG00000116906,3261,0.422876418
ENSG00000116918,6353,0.364237368
ENSG00000116922,4443,0.52036912
ENSG00000116954,5116,0.464034402
ENSG00000116962,5811,0.480640165
ENSG00000116977,9462,0.422215176
ENSG00000116981,9068,0.514666961
ENSG00000116983,4758,0.534047919
ENSG00000116984,19254,0.446608497
ENSG00000116985,4826,0.585163697
ENSG00000116990,5063,0.56191981
ENSG00000116991,8552,0.459541628
ENSG00000116996,2474,0.428860146
ENSG00000117000,6232,0.397785623
ENSG00000117009,5946,0.387991927
ENSG00000117010,3101,0.403418252
ENSG00000117013,4408,0.63430127
ENSG00000117016,7259,0.543325527
ENSG00000117020,16643,0.370305834
ENSG00000117036,6707,0.451021321
ENSG00000117054,13774,0.404675476
ENSG00000117069,6059,0.429608846
ENSG00000117090,4012,0.462362911
ENSG00000117091,3254,0.417947142
ENSG00000117114,24178,0.352055588
ENSG00000117115,6000,0.526666667
ENSG00000117118,2324,0.420826162
ENSG00000117122,2712,0.621312684
ENSG00000117133,2290,0.383842795
ENSG00000117139,24899,0.425679746
ENSG00000117143,4619,0.383632821
ENSG00000117148,1844,0.565075922
ENSG00000117151,6934,0.384193828
ENSG00000117152,4729,0.404736731
ENSG00000117153,3508,0.468928164
ENSG00000117154,3033,0.589845038
ENSG00000117155,8563,0.394604695
ENSG00000117174,6203,0.374334999
ENSG00000117215,2681,0.480417755
ENSG00000117222,4404,0.445731153
ENSG00000117226,4284,0.407796452
ENSG00000117228,6103,0.388005899
ENSG00000117242,4443,0.492685123
ENSG00000117245,4470,0.589709172
ENSG00000117262,5561,0.408919259
ENSG00000117266,6830,0.602635432
ENSG00000117280,3904,0.472592213
ENSG00000117281,3971,0.419038026
ENSG00000117298,7308,0.559386973
ENSG00000117305,5628,0.45167022
ENSG00000117308,3955,0.610619469
ENSG00000117318,1496,0.569518717
ENSG00000117322,5030,0.46500994
ENSG00000117335,15505,0.370396646
ENSG00000117360,5408,0.464681953
ENSG00000117362,3473,0.539015261
ENSG00000117385,6766,0.503990541
ENSG00000117394,6614,0.554429997
ENSG00000117395,3561,0.426565571
ENSG00000117399,2012,0.57554672
ENSG00000117400,3937,0.533655067
ENSG00000117407,2657,0.656003011
ENSG00000117408,5072,0.578667192
ENSG00000117410,3239,0.561901822
ENSG00000117411,5472,0.590643275
ENSG00000117419,2785,0.552962298
ENSG00000117425,5334,0.527559055
ENSG00000117448,3121,0.543095162
ENSG00000117450,1682,0.450059453
ENSG00000117461,7397,0.429768825
ENSG00000117472,2370,0.534599156
ENSG00000117475,3820,0.380104712
ENSG00000117477,3961,0.376672557
ENSG00000117479,4364,0.406049496
ENSG00000117480,2724,0.613436123
ENSG00000117481,7856,0.494017312
ENSG00000117500,9211,0.39561394
ENSG00000117501,3776,0.394067797
ENSG00000117505,10925,0.376018307
ENSG00000117519,2783,0.499101689
ENSG00000117523,14189,0.428359997
ENSG00000117525,2886,0.460845461
ENSG00000117528,7655,0.379751796
ENSG00000117533,4986,0.409546731
ENSG00000117543,5951,0.408670812
ENSG00000117560,1805,0.469252078
ENSG00000117569,20122,0.345194315
ENSG00000117586,3963,0.39540752
ENSG00000117592,2311,0.427087841
ENSG00000117593,7353,0.402692778
ENSG00000117594,1512,0.430555556
ENSG00000117595,5106,0.480415198
ENSG00000117597,10411,0.438478532
ENSG00000117598,4859,0.394525623
ENSG00000117600,5201,0.418573351
ENSG00000117601,1721,0.441022661
ENSG00000117602,7138,0.427991034
ENSG00000117614,3773,0.433342168
ENSG00000117616,6730,0.426448737
ENSG00000117620,18235,0.374115712
ENSG00000117625,9092,0.390453146
ENSG00000117632,6247,0.537057788
ENSG00000117640,5797,0.525616698
ENSG00000117643,9702,0.54710369
ENSG00000117650,3095,0.398384491
ENSG00000117676,5884,0.575798776
ENSG00000117682,7156,0.491335942
ENSG00000117691,1264,0.549841772
ENSG00000117697,13867,0.401673037
ENSG00000117707,8936,0.412936437
ENSG00000117713,15939,0.523244871
ENSG00000117724,12471,0.401812204
ENSG00000117748,1981,0.49772842
ENSG00000117751,2815,0.493072824
ENSG00000117758,3801,0.398579321
ENSG00000117791,2597,0.476318829
ENSG00000117834,4535,0.535832415
ENSG00000117859,10273,0.424024141
ENSG00000117862,2864,0.444134078
ENSG00000117868,7094,0.50436989
ENSG00000117877,3197,0.557084767
ENSG00000117899,7455,0.473105298
ENSG00000117906,9901,0.384203616
ENSG00000117971,4984,0.462680578
ENSG00000117983,18598,0.645660824
ENSG00000117984,5697,0.656134808
ENSG00000118004,2778,0.552915767
ENSG00000118007,7843,0.438735178
ENSG00000118017,1779,0.364811692
ENSG00000118046,8811,0.65917603
ENSG00000118058,31469,0.436429502
ENSG00000118094,3182,0.51539912
ENSG00000118096,3773,0.479724357
ENSG00000118113,3437,0.389002037
